node1,node2,distance
0,1,273.07821048680194
1,4,38.52691193458118
1,2,9.899494936611667
2,3,180.91168824543144
2,6,70.18376618407356
4,13,160.3380951166243
4,9,89.41421356237309
5,6,65.89949493661166
6,8,39.727922061357845
7,10,42.21320343559643
8,10,108.42640687119285
8,12,90.2253967444162
10,11,44.970562748477136
